DOI,MLA,APA,Chicago,Harvard,Vancouver
"10.1109/ICAI52893.2021.9639574","Mladenova, Tsvetelina, et al. “Application of Facial Recognition with PCA and Raspberry Pi for Access Control to Luggage Lockers.” 2021 International Conference Automatics and Informatics (ICAI), IEEE, 30 Sept. 2021. Crossref, https://doi.org/10.1109/icai52893.2021.9639574.","Mladenova, T., Valova, I., & Valov, N. (2021). Application of Facial Recognition with PCA and Raspberry Pi for Access Control to Luggage Lockers. In 2021 International Conference Automatics and Informatics (ICAI). 2021 International Conference Automatics and Informatics (ICAI). IEEE. https://doi.org/10.1109/icai52893.2021.9639574","Mladenova, Tsvetelina, Irena Valova, and Nikolay Valov. 2021. “Application of Facial Recognition with PCA and Raspberry Pi for Access Control to Luggage Lockers.” 2021 International Conference Automatics and Informatics (ICAI). IEEE. https://doi.org/10.1109/icai52893.2021.9639574.","Mladenova, T., Valova, I. and Valov, N. (2021) “Application of Facial Recognition with PCA and Raspberry Pi for Access Control to Luggage Lockers,” 2021 International Conference Automatics and Informatics (ICAI). 2021 International Conference Automatics and Informatics (ICAI), IEEE. Available at: https://doi.org/10.1109/icai52893.2021.9639574.","Mladenova T, Valova I, Valov N. Application of Facial Recognition with PCA and Raspberry Pi for Access Control to Luggage Lockers. 2021 International Conference Automatics and Informatics (ICAI) 2021. https://doi.org/10.1109/icai52893.2021.9639574."
"10.1016/j.ifacol.2015.11.220","Hoyo, Ángeles, et al. “Teaching Control Engineering Concepts Using Open Source Tools on a Raspberry Pi board**This Work Has Been Partially Funded by the Following Projects: DPI2014- 55932-C2-1-R and DPI2014-56364-C2-1-R (Financed by the Spanish Ministry of Science and Innovation and EU- ERDF Funds).” IFAC-PapersOnLine, vol. 48, no. 29, Elsevier BV, 2015, pp. 99–104. Crossref, https://doi.org/10.1016/j.ifacol.2015.11.220.","Hoyo, Á., Guzmán, J. L., Moreno, J. C., & Berenguel, M. (2015). Teaching Control Engineering Concepts using Open Source tools on a Raspberry Pi board**This work has been partially funded by the following projects: DPI2014- 55932-C2-1-R and DPI2014-56364-C2-1-R (financed by the Spanish Ministry of Science and Innovation and EU- ERDF funds). In IFAC-PapersOnLine (Vol. 48, Issue 29, pp. 99–104). Elsevier BV. https://doi.org/10.1016/j.ifacol.2015.11.220","Hoyo, Ángeles, José Luis Guzmán, José Carlos Moreno, and Manuel Berenguel. 2015. “Teaching Control Engineering Concepts Using Open Source Tools on a Raspberry Pi board**This Work Has Been Partially Funded by the Following Projects: DPI2014- 55932-C2-1-R and DPI2014-56364-C2-1-R (Financed by the Spanish Ministry of Science and Innovation and EU- ERDF Funds).” IFAC-PapersOnLine. Elsevier BV. https://doi.org/10.1016/j.ifacol.2015.11.220.","Hoyo, Á. et al. (2015) “Teaching Control Engineering Concepts using Open Source tools on a Raspberry Pi board**This work has been partially funded by the following projects: DPI2014- 55932-C2-1-R and DPI2014-56364-C2-1-R (financed by the Spanish Ministry of Science and Innovation and EU- ERDF funds),” IFAC-PapersOnLine. Elsevier BV. Available at: https://doi.org/10.1016/j.ifacol.2015.11.220.","Hoyo Á, Guzmán JL, Moreno JC, Berenguel M. Teaching Control Engineering Concepts using Open Source tools on a Raspberry Pi board**This work has been partially funded by the following projects: DPI2014- 55932-C2-1-R and DPI2014-56364-C2-1-R (financed by the Spanish Ministry of Science and Innovation and EU- ERDF funds). IFAC-PapersOnLine 2015;48:99–104. https://doi.org/10.1016/j.ifacol.2015.11.220."
"10.1109/ICSSE.2019.8823104","Tuan, Khanh Nguyen. “A Wireless Sensor Network for Aquaculture Using Raspberry Pi, Arduino and Xbee.” 2019 International Conference on System Science and Engineering (ICSSE), IEEE, July 2019. Crossref, https://doi.org/10.1109/icsse.2019.8823104.","Tuan, K. N. (2019). A Wireless Sensor Network for Aquaculture Using Raspberry Pi, Arduino and Xbee. In 2019 International Conference on System Science and Engineering (ICSSE). 2019 International Conference on System Science and Engineering (ICSSE). IEEE. https://doi.org/10.1109/icsse.2019.8823104","Tuan, Khanh Nguyen. 2019. “A Wireless Sensor Network for Aquaculture Using Raspberry Pi, Arduino and Xbee.” 2019 International Conference on System Science and Engineering (ICSSE). IEEE. https://doi.org/10.1109/icsse.2019.8823104.","Tuan, K.N. (2019) “A Wireless Sensor Network for Aquaculture Using Raspberry Pi, Arduino and Xbee,” 2019 International Conference on System Science and Engineering (ICSSE). 2019 International Conference on System Science and Engineering (ICSSE), IEEE. Available at: https://doi.org/10.1109/icsse.2019.8823104.","Tuan KN. A Wireless Sensor Network for Aquaculture Using Raspberry Pi, Arduino and Xbee. 2019 International Conference on System Science and Engineering (ICSSE) 2019. https://doi.org/10.1109/icsse.2019.8823104."
"10.1109/ICSSE52999.2021.9538474","Son, Dang Thai, et al. “The Practice of Mapping-Based Navigation System for Indoor Robot with RPLIDAR and Raspberry Pi.” 2021 International Conference on System Science and Engineering (ICSSE), IEEE, 26 Aug. 2021. Crossref, https://doi.org/10.1109/icsse52999.2021.9538474.","Son, D. T., Anh, M. T., Tu, D. D., Van Chuong, L., Cuong, T. H., & Phuong, H. S. (2021). The Practice of Mapping-based Navigation System for Indoor Robot with RPLIDAR and Raspberry Pi. In 2021 International Conference on System Science and Engineering (ICSSE). 2021 International Conference on System Science and Engineering (ICSSE). IEEE. https://doi.org/10.1109/icsse52999.2021.9538474","Son, Dang Thai, Mai The Anh, Duong Dinh Tu, Le Van Chuong, Ta Hung Cuong, and Ho Sy Phuong. 2021. “The Practice of Mapping-Based Navigation System for Indoor Robot with RPLIDAR and Raspberry Pi.” 2021 International Conference on System Science and Engineering (ICSSE). IEEE. https://doi.org/10.1109/icsse52999.2021.9538474.","Son, D.T. et al. (2021) “The Practice of Mapping-based Navigation System for Indoor Robot with RPLIDAR and Raspberry Pi,” 2021 International Conference on System Science and Engineering (ICSSE). 2021 International Conference on System Science and Engineering (ICSSE), IEEE. Available at: https://doi.org/10.1109/icsse52999.2021.9538474.","Son DT, Anh MT, Tu DD, Van Chuong L, Cuong TH, Phuong HS. The Practice of Mapping-based Navigation System for Indoor Robot with RPLIDAR and Raspberry Pi. 2021 International Conference on System Science and Engineering (ICSSE) 2021. https://doi.org/10.1109/icsse52999.2021.9538474."
"10.1109/iCAST1.2018.8751612","Rohadi, Erfan, et al. “Internet of Things: CCTV Monitoring by Using Raspberry Pi.” 2018 International Conference on Applied Science and Technology (iCAST), IEEE, Oct. 2018. Crossref, https://doi.org/10.1109/icast1.2018.8751612.","Rohadi, E., Suwignjo, S. A., Pradana, M. C., Setiawan, A., Siradjuddin, I., Ronilaya, F., Amalia, Asmara, R. A., & Ariyanto, R. (2018). Internet of Things: CCTV Monitoring by Using Raspberry Pi. In 2018 International Conference on Applied Science and Technology (iCAST). 2018 International Conference on Applied Science and Technology (iCAST). IEEE. https://doi.org/10.1109/icast1.2018.8751612","Rohadi, Erfan, Supriatna Adhi Suwignjo, Moggi Candra Pradana, Awan Setiawan, Indrazno Siradjuddin, Ferdian Ronilaya, Amalia, Rosa Andrie Asmara, and Rudy Ariyanto. 2018. “Internet of Things: CCTV Monitoring by Using Raspberry Pi.” 2018 International Conference on Applied Science and Technology (iCAST). IEEE. https://doi.org/10.1109/icast1.2018.8751612.","Rohadi, E. et al. (2018) “Internet of Things: CCTV Monitoring by Using Raspberry Pi,” 2018 International Conference on Applied Science and Technology (iCAST). 2018 International Conference on Applied Science and Technology (iCAST), IEEE. Available at: https://doi.org/10.1109/icast1.2018.8751612.","Rohadi E, Suwignjo SA, Pradana MC, Setiawan A, Siradjuddin I, Ronilaya F, et al. Internet of Things: CCTV Monitoring by Using Raspberry Pi. 2018 International Conference on Applied Science and Technology (iCAST) 2018. https://doi.org/10.1109/icast1.2018.8751612."
"10.1109/MysuruCon55714.2022.9972676","D, Satish Kumar., et al. “An Accident Identification and Alerting System by Using Raspberry Pi.” 2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon), IEEE, 16 Oct. 2022. Crossref, https://doi.org/10.1109/mysurucon55714.2022.9972676.","D, S. Kumar., K, V. K., Khan, P. Md. M., Patil, V., Gouda, V., Hegde, A., & Shiradoni, B. (2022). An Accident Identification and Alerting System by Using Raspberry Pi. In 2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon). 2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon). IEEE. https://doi.org/10.1109/mysurucon55714.2022.9972676","D, Satish Kumar., Vinoth Kumar K, P.Md.Muthathir Khan, Vishwanath Patil, Venkan Gouda, Adithya Hegde, and Bharatesh Shiradoni. 2022. “An Accident Identification and Alerting System by Using Raspberry Pi.” 2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon). IEEE. https://doi.org/10.1109/mysurucon55714.2022.9972676.","D, S.Kumar. et al. (2022) “An Accident Identification and Alerting System by Using Raspberry Pi,” 2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon). 2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon), IEEE. Available at: https://doi.org/10.1109/mysurucon55714.2022.9972676.","D SKumar, K VK, Khan PMdM, Patil V, Gouda V, Hegde A, et al. An Accident Identification and Alerting System by Using Raspberry Pi. 2022 IEEE 2nd Mysore Sub Section International Conference (MysuruCon) 2022. https://doi.org/10.1109/mysurucon55714.2022.9972676."
"10.23919/IConAC.2017.8082023","Aagela, Hamza, et al. “An Asus_xtion_probased Indoor MAPPING Using a Raspberry Pi with Turtlebot Robot Turtlebot Robot.” 2017 23rd International Conference on Automation and Computing (ICAC), IEEE, Sept. 2017. Crossref, https://doi.org/10.23919/iconac.2017.8082023.","Aagela, H., Al-Nesf, M., & Holmes, V. (2017). An Asus_xtion_probased indoor MAPPING using a Raspberry Pi with Turtlebot robot Turtlebot robot. In 2017 23rd International Conference on Automation and Computing (ICAC). 2017 23rd International Conference on Automation and Computing (ICAC). IEEE. https://doi.org/10.23919/iconac.2017.8082023","Aagela, Hamza, Maha Al-Nesf, and Violeta Holmes. 2017. “An Asus_xtion_probased Indoor MAPPING Using a Raspberry Pi with Turtlebot Robot Turtlebot Robot.” 2017 23rd International Conference on Automation and Computing (ICAC). IEEE. https://doi.org/10.23919/iconac.2017.8082023.","Aagela, H., Al-Nesf, M. and Holmes, V. (2017) “An Asus_xtion_probased indoor MAPPING using a Raspberry Pi with Turtlebot robot Turtlebot robot,” 2017 23rd International Conference on Automation and Computing (ICAC). 2017 23rd International Conference on Automation and Computing (ICAC), IEEE. Available at: https://doi.org/10.23919/iconac.2017.8082023.","Aagela H, Al-Nesf M, Holmes V. An Asus_xtion_probased indoor MAPPING using a Raspberry Pi with Turtlebot robot Turtlebot robot. 2017 23rd International Conference on Automation and Computing (ICAC) 2017. https://doi.org/10.23919/iconac.2017.8082023."
"10.35940/ijeat.F1285.0986S319","“A Smart Reader for Blind People.” International Journal of Engineering and Advanced Technology, vol. 8, no. 6S3, Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP, 22 Nov. 2019, pp. 1566–68. Crossref, https://doi.org/10.35940/ijeat.f1285.0986s319.","A Smart Reader for Blind People. (2019). In International Journal of Engineering and Advanced Technology (Vol. 8, Issue 6S3, pp. 1566–1568). Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP. https://doi.org/10.35940/ijeat.f1285.0986s319","“A Smart Reader for Blind People.” 2019. International Journal of Engineering and Advanced Technology. Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP. https://doi.org/10.35940/ijeat.f1285.0986s319.","“A Smart Reader for Blind People” (2019) International Journal of Engineering and Advanced Technology. Blue Eyes Intelligence Engineering and Sciences Engineering and Sciences Publication - BEIESP. Available at: https://doi.org/10.35940/ijeat.f1285.0986s319.","A Smart Reader for Blind People. IJEAT 2019;8:1566–8. https://doi.org/10.35940/ijeat.f1285.0986s319."
"10.1109/CCDC.2016.7532139","Song, Yaoxian, et al. “An Intelligent Visual Line Tracking System via Quadrotor Platform.” 2016 Chinese Control and Decision Conference (CCDC), IEEE, May 2016. Crossref, https://doi.org/10.1109/ccdc.2016.7532139.","Song, Y., Wang, Y., Wang, J., Li, Z., Li, G., & Yu, F. (2016). An intelligent visual line tracking system via quadrotor platform. In 2016 Chinese Control and Decision Conference (CCDC). 2016 Chinese Control and Decision Conference (CCDC). IEEE. https://doi.org/10.1109/ccdc.2016.7532139","Song, Yaoxian, Yinqiu Wang, Jian Wang, Zhixun Li, Gao Li, and Fengmin Yu. 2016. “An Intelligent Visual Line Tracking System via Quadrotor Platform.” 2016 Chinese Control and Decision Conference (CCDC). IEEE. https://doi.org/10.1109/ccdc.2016.7532139.","Song, Y. et al. (2016) “An intelligent visual line tracking system via quadrotor platform,” 2016 Chinese Control and Decision Conference (CCDC). 2016 Chinese Control and Decision Conference (CCDC), IEEE. Available at: https://doi.org/10.1109/ccdc.2016.7532139.","Song Y, Wang Y, Wang J, Li Z, Li G, Yu F. An intelligent visual line tracking system via quadrotor platform. 2016 Chinese Control and Decision Conference (CCDC) 2016. https://doi.org/10.1109/ccdc.2016.7532139."
"10.1109/FIE.2017.8190735","Williams, Chad, and Stan Kurkovsky. “Raspberry Pi Creativity: A Student-Driven Approach to Teaching Software Design Patterns.” 2017 IEEE Frontiers in Education Conference (FIE), IEEE, Oct. 2017. Crossref, https://doi.org/10.1109/fie.2017.8190735.","Williams, C., & Kurkovsky, S. (2017). Raspberry Pi creativity: A student-driven approach to teaching software design patterns. In 2017 IEEE Frontiers in Education Conference (FIE). 2017 IEEE Frontiers in Education Conference (FIE). IEEE. https://doi.org/10.1109/fie.2017.8190735","Williams, Chad, and Stan Kurkovsky. 2017. “Raspberry Pi Creativity: A Student-Driven Approach to Teaching Software Design Patterns.” 2017 IEEE Frontiers in Education Conference (FIE). IEEE. https://doi.org/10.1109/fie.2017.8190735.","Williams, C. and Kurkovsky, S. (2017) “Raspberry Pi creativity: A student-driven approach to teaching software design patterns,” 2017 IEEE Frontiers in Education Conference (FIE). 2017 IEEE Frontiers in Education Conference (FIE), IEEE. Available at: https://doi.org/10.1109/fie.2017.8190735.","Williams C, Kurkovsky S. Raspberry Pi creativity: A student-driven approach to teaching software design patterns. 2017 IEEE Frontiers in Education Conference (FIE) 2017. https://doi.org/10.1109/fie.2017.8190735."
"10.1109/CCDC.2018.8408311","Guo, Xuling, et al. “Design of the Intelligent Control System of Classroom Based on Raspberry Pi.” 2018 Chinese Control And Decision Conference (CCDC), IEEE, June 2018. Crossref, https://doi.org/10.1109/ccdc.2018.8408311.","Guo, X., Wang, S., & Zhu, S. (2018). Design of the intelligent control system of classroom based on Raspberry Pi. In 2018 Chinese Control And Decision Conference (CCDC). 2018 Chinese Control And Decision Conference (CCDC). IEEE. https://doi.org/10.1109/ccdc.2018.8408311","Guo, Xuling, Shuqun Wang, and Shengying Zhu. 2018. “Design of the Intelligent Control System of Classroom Based on Raspberry Pi.” 2018 Chinese Control And Decision Conference (CCDC). IEEE. https://doi.org/10.1109/ccdc.2018.8408311.","Guo, X., Wang, S. and Zhu, S. (2018) “Design of the intelligent control system of classroom based on Raspberry Pi,” 2018 Chinese Control And Decision Conference (CCDC). 2018 Chinese Control And Decision Conference (CCDC), IEEE. Available at: https://doi.org/10.1109/ccdc.2018.8408311.","Guo X, Wang S, Zhu S. Design of the intelligent control system of classroom based on Raspberry Pi. 2018 Chinese Control And Decision Conference (CCDC) 2018. https://doi.org/10.1109/ccdc.2018.8408311."
"10.1109/CCECE.2016.7726745","Lu, Kok Yee Roger, and Svetlana Yanushkevich. “Wearable System-on-Module for Prosopagnosia Rehabilitation.” 2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE), IEEE, May 2016. Crossref, https://doi.org/10.1109/ccece.2016.7726745.","Lu, K. Y. R., & Yanushkevich, S. (2016). Wearable system-on-module for prosopagnosia rehabilitation. In 2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE). 2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE). IEEE. https://doi.org/10.1109/ccece.2016.7726745","Lu, Kok Yee Roger, and Svetlana Yanushkevich. 2016. “Wearable System-on-Module for Prosopagnosia Rehabilitation.” 2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE). IEEE. https://doi.org/10.1109/ccece.2016.7726745.","Lu, K.Y.R. and Yanushkevich, S. (2016) “Wearable system-on-module for prosopagnosia rehabilitation,” 2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE). 2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE), IEEE. Available at: https://doi.org/10.1109/ccece.2016.7726745.","Lu KYR, Yanushkevich S. Wearable system-on-module for prosopagnosia rehabilitation. 2016 IEEE Canadian Conference on Electrical and Computer Engineering (CCECE) 2016. https://doi.org/10.1109/ccece.2016.7726745."
"10.1109/TELECOM56127.2022.10017262","Todorov, Milen Hrabarov. “Deploying Different Lightweight Kubernetes on Raspberry Pi Cluster.” 2022 30th National Conference with International Participation (TELECOM), IEEE, 27 Oct. 2022. Crossref, https://doi.org/10.1109/telecom56127.2022.10017262.","Todorov, M. H. (2022). Deploying Different Lightweight Kubernetes on Raspberry Pi Cluster. In 2022 30th National Conference with International Participation (TELECOM). 2022 30th National Conference with International Participation (TELECOM). IEEE. https://doi.org/10.1109/telecom56127.2022.10017262","Todorov, Milen Hrabarov. 2022. “Deploying Different Lightweight Kubernetes on Raspberry Pi Cluster.” 2022 30th National Conference with International Participation (TELECOM). IEEE. https://doi.org/10.1109/telecom56127.2022.10017262.","Todorov, M.H. (2022) “Deploying Different Lightweight Kubernetes on Raspberry Pi Cluster,” 2022 30th National Conference with International Participation (TELECOM). 2022 30th National Conference with International Participation (TELECOM), IEEE. Available at: https://doi.org/10.1109/telecom56127.2022.10017262.","Todorov MH. Deploying Different Lightweight Kubernetes on Raspberry Pi Cluster. 2022 30th National Conference with International Participation (TELECOM) 2022. https://doi.org/10.1109/telecom56127.2022.10017262."
"10.1109/VCIP.2015.7457898","Viitanen, Marko, et al. “Kvazaar HEVC Still Image Coding on Raspberry Pi 2 for Low-Cost Remote Surveillance.” 2015 Visual Communications and Image Processing (VCIP), IEEE, Dec. 2015. Crossref, https://doi.org/10.1109/vcip.2015.7457898.","Viitanen, M., Koivula, A., Vanne, J., & Hamalainen, T. D. (2015). Kvazaar HEVC still image coding on Raspberry Pi 2 for low-cost remote surveillance. In 2015 Visual Communications and Image Processing (VCIP). 2015 Visual Communications and Image Processing (VCIP). IEEE. https://doi.org/10.1109/vcip.2015.7457898","Viitanen, Marko, Ari Koivula, Jarno Vanne, and Timo D. Hamalainen. 2015. “Kvazaar HEVC Still Image Coding on Raspberry Pi 2 for Low-Cost Remote Surveillance.” 2015 Visual Communications and Image Processing (VCIP). IEEE. https://doi.org/10.1109/vcip.2015.7457898.","Viitanen, M. et al. (2015) “Kvazaar HEVC still image coding on Raspberry Pi 2 for low-cost remote surveillance,” 2015 Visual Communications and Image Processing (VCIP). 2015 Visual Communications and Image Processing (VCIP), IEEE. Available at: https://doi.org/10.1109/vcip.2015.7457898.","Viitanen M, Koivula A, Vanne J, Hamalainen TD. Kvazaar HEVC still image coding on Raspberry Pi 2 for low-cost remote surveillance. 2015 Visual Communications and Image Processing (VCIP) 2015. https://doi.org/10.1109/vcip.2015.7457898."
"10.1109/SENSET.2017.8125050","Ghareeb, Majd, et al. “Pl-to-PI: A Solution towards Secure Peer to Peer Communication Network.” 2017 Sensors Networks Smart and Emerging Technologies (SENSET), IEEE, Sept. 2017. Crossref, https://doi.org/10.1109/senset.2017.8125050.","Ghareeb, M., Rammal, M., Nahle, A., Raad, M., & Bazzi, A. (2017). Pl-to-PI: A solution towards secure peer to peer communication network. In 2017 Sensors Networks Smart and Emerging Technologies (SENSET). 2017 Sensors Networks Smart and Emerging Technologies (SENSET). IEEE. https://doi.org/10.1109/senset.2017.8125050","Ghareeb, Majd, Marwa Rammal, Ali Nahle, Mohamad Raad, and Ali Bazzi. 2017. “Pl-to-PI: A Solution towards Secure Peer to Peer Communication Network.” 2017 Sensors Networks Smart and Emerging Technologies (SENSET). IEEE. https://doi.org/10.1109/senset.2017.8125050.","Ghareeb, M. et al. (2017) “Pl-to-PI: A solution towards secure peer to peer communication network,” 2017 Sensors Networks Smart and Emerging Technologies (SENSET). 2017 Sensors Networks Smart and Emerging Technologies (SENSET), IEEE. Available at: https://doi.org/10.1109/senset.2017.8125050.","Ghareeb M, Rammal M, Nahle A, Raad M, Bazzi A. Pl-to-PI: A solution towards secure peer to peer communication network. 2017 Sensors Networks Smart and Emerging Technologies (SENSET) 2017. https://doi.org/10.1109/senset.2017.8125050."
"10.1088/1742-6596/1230/1/012024","Ma’muriyah, Ni’matul, et al. “Design Prototype of Audio Guidance System for Blind by Using Raspberry Pi and Fuzzy Logic Controller.” Journal of Physics: Conference Series, vol. 1230, no. 1, IOP Publishing, 1 July 2019, p. 012024. Crossref, https://doi.org/10.1088/1742-6596/1230/1/012024.","Ma’muriyah, N., Yulianto, A., & Lili. (2019). Design prototype of audio guidance system for blind by using raspberry pi and fuzzy logic controller. In Journal of Physics: Conference Series (Vol. 1230, Issue 1, p. 012024). IOP Publishing. https://doi.org/10.1088/1742-6596/1230/1/012024","Ma’muriyah, Ni’matul, Andik Yulianto, and Lili. 2019. “Design Prototype of Audio Guidance System for Blind by Using Raspberry Pi and Fuzzy Logic Controller.” Journal of Physics: Conference Series. IOP Publishing. https://doi.org/10.1088/1742-6596/1230/1/012024.","Ma’muriyah, N., Yulianto, A. and Lili (2019) “Design prototype of audio guidance system for blind by using raspberry pi and fuzzy logic controller,” Journal of Physics: Conference Series. IOP Publishing. Available at: https://doi.org/10.1088/1742-6596/1230/1/012024.","Ma’muriyah N, Yulianto A, Lili. Design prototype of audio guidance system for blind by using raspberry pi and fuzzy logic controller. J Phys: Conf Ser 2019;1230:012024. https://doi.org/10.1088/1742-6596/1230/1/012024."
"10.1109/MITE.2016.76","DOI not found","DOI not found","DOI not found","DOI not found","DOI not found"
"10.1007/978-981-13-1936-5_24","Karthikeyan, P., et al. “Design and Development of Laplacian Pyramid Combined with Bilateral Filtering Based Image Denoising.” Soft Computing Systems, Springer Singapore, 2018, pp. 211–21. Crossref, https://doi.org/10.1007/978-981-13-1936-5_24.","Karthikeyan, P., Vasuki, S., Karthik, K., & Sakthivel, M. (2018). Design and Development of Laplacian Pyramid Combined with Bilateral Filtering Based Image Denoising. In Soft Computing Systems (pp. 211–221). Springer Singapore. https://doi.org/10.1007/978-981-13-1936-5_24","Karthikeyan, P., S. Vasuki, K. Karthik, and M. Sakthivel. 2018. “Design and Development of Laplacian Pyramid Combined with Bilateral Filtering Based Image Denoising.” Soft Computing Systems. Springer Singapore. https://doi.org/10.1007/978-981-13-1936-5_24.","Karthikeyan, P. et al. (2018) “Design and Development of Laplacian Pyramid Combined with Bilateral Filtering Based Image Denoising,” Soft Computing Systems. Springer Singapore. Available at: https://doi.org/10.1007/978-981-13-1936-5_24.","Karthikeyan P, Vasuki S, Karthik K, Sakthivel M. Design and Development of Laplacian Pyramid Combined with Bilateral Filtering Based Image Denoising. Soft Computing Systems 2018:211–21. https://doi.org/10.1007/978-981-13-1936-5_24."
"10.1109/URTC.2017.8284197","Candelario, Kasey, et al. “Investigating a Raspberry Pi Cluster for Detecting Anomalies in the Smart Grid.” 2017 IEEE MIT Undergraduate Research Technology Conference (URTC), IEEE, Nov. 2017. Crossref, https://doi.org/10.1109/urtc.2017.8284197.","Candelario, K., Booth, C., St.Leger, A., & Matthews, S. J. (2017). Investigating a Raspberry Pi cluster for detecting anomalies in the smart grid. In 2017 IEEE MIT Undergraduate Research Technology Conference (URTC). 2017 IEEE MIT Undergraduate Research Technology Conference (URTC). IEEE. https://doi.org/10.1109/urtc.2017.8284197","Candelario, Kasey, Chris Booth, Aaron St.Leger, and Suzanne J. Matthews. 2017. “Investigating a Raspberry Pi Cluster for Detecting Anomalies in the Smart Grid.” 2017 IEEE MIT Undergraduate Research Technology Conference (URTC). IEEE. https://doi.org/10.1109/urtc.2017.8284197.","Candelario, K. et al. (2017) “Investigating a Raspberry Pi cluster for detecting anomalies in the smart grid,” 2017 IEEE MIT Undergraduate Research Technology Conference (URTC). 2017 IEEE MIT Undergraduate Research Technology Conference (URTC), IEEE. Available at: https://doi.org/10.1109/urtc.2017.8284197.","Candelario K, Booth C, St.Leger A, Matthews SJ. Investigating a Raspberry Pi cluster for detecting anomalies in the smart grid. 2017 IEEE MIT Undergraduate Research Technology Conference (URTC) 2017. https://doi.org/10.1109/urtc.2017.8284197."
"10.1109/ICAEE.2017.8255436","Imteaj, Ahmed, et al. “IoT Based Energy and Gas Economic Home Automation System Using Raspberry Pi 3.” 2017 4th International Conference on Advances in Electrical Engineering (ICAEE), IEEE, Sept. 2017. Crossref, https://doi.org/10.1109/icaee.2017.8255436.","Imteaj, A., Rahman, T., Begum, H. A., & Alam, M. S. (2017). IoT based energy and gas economic home automation system using Raspberry Pi 3. In 2017 4th International Conference on Advances in Electrical Engineering (ICAEE). 2017 4th International Conference on Advances in Electrical Engineering (ICAEE ). IEEE. https://doi.org/10.1109/icaee.2017.8255436","Imteaj, Ahmed, Tanveer Rahman, Hosna Ara Begum, and Mohammed Shamsul Alam. 2017. “IoT Based Energy and Gas Economic Home Automation System Using Raspberry Pi 3.” 2017 4th International Conference on Advances in Electrical Engineering (ICAEE). IEEE. https://doi.org/10.1109/icaee.2017.8255436.","Imteaj, A. et al. (2017) “IoT based energy and gas economic home automation system using Raspberry Pi 3,” 2017 4th International Conference on Advances in Electrical Engineering (ICAEE). 2017 4th International Conference on Advances in Electrical Engineering (ICAEE ), IEEE. Available at: https://doi.org/10.1109/icaee.2017.8255436.","Imteaj A, Rahman T, Begum HA, Alam MS. IoT based energy and gas economic home automation system using Raspberry Pi 3. 2017 4th International Conference on Advances in Electrical Engineering (ICAEE) 2017. https://doi.org/10.1109/icaee.2017.8255436."
"10.1109/iCAST1.2018.8751609","Rasyid, M. Udin Harun Al, et al. “I-ON Smart Controller: Portable Smart Home Solution Based on Arduino And Raspberry Pi.” 2018 International Conference on Applied Science and Technology (iCAST), IEEE, Oct. 2018. Crossref, https://doi.org/10.1109/icast1.2018.8751609.","Rasyid, M. U. H. A., Saputra, F. A., & Prasetiyo, A. (2018). I-ON Smart Controller: Portable Smart Home Solution Based on Arduino And Raspberry Pi. In 2018 International Conference on Applied Science and Technology (iCAST). 2018 International Conference on Applied Science and Technology (iCAST). IEEE. https://doi.org/10.1109/icast1.2018.8751609","Rasyid, M. Udin Harun Al, Ferry Astika Saputra, and Agus Prasetiyo. 2018. “I-ON Smart Controller: Portable Smart Home Solution Based on Arduino And Raspberry Pi.” 2018 International Conference on Applied Science and Technology (iCAST). IEEE. https://doi.org/10.1109/icast1.2018.8751609.","Rasyid, M.U.H.A., Saputra, F.A. and Prasetiyo, A. (2018) “I-ON Smart Controller: Portable Smart Home Solution Based on Arduino And Raspberry Pi,” 2018 International Conference on Applied Science and Technology (iCAST). 2018 International Conference on Applied Science and Technology (iCAST), IEEE. Available at: https://doi.org/10.1109/icast1.2018.8751609.","Rasyid MUHA, Saputra FA, Prasetiyo A. I-ON Smart Controller: Portable Smart Home Solution Based on Arduino And Raspberry Pi. 2018 International Conference on Applied Science and Technology (iCAST) 2018. https://doi.org/10.1109/icast1.2018.8751609."
